region,Categories,GHG,2020,2030,2050,2100
Brazil,residential commercial,OC,0.11709387,0.082685371,0.054714818,0.030198853
Brazil,residential commercial,SO2,0.016596201,0.011971767,0.007645456,0.003234222
Brazil,transportation,BC,0.056109465,0.047406172,0.043293763,0.029264541
Brazil,transportation,CH4,0.037488419,0.029699103,0.02318412,0.015081574
Brazil,transportation,CO,8.877418425,5.925405077,3.863256083,2.414470091
Brazil,transportation,NH3,0.015927164,0.010853833,0.006189816,0.003441714
Brazil,transportation,NMVOC,1.607788167,1.104388953,0.747181294,0.472796348
Brazil,transportation,NOx,2.173319005,1.710464076,1.427546454,0.931046044
Brazil,transportation,OC,0.027941787,0.022644809,0.019731248,0.013386179
Brazil,transportation,SO2,0.299104053,0.218231731,0.158699377,0.098095038
Brazil,wildfire,BC,0.089041044,0.077549789,0.068878422,0.068366338
Brazil,wildfire,CH4,0.565785752,0.452938799,0.366443389,0.359439183
Brazil,wildfire,CO,15.3511806,13.29449269,11.73995346,11.64455059
Brazil,wildfire,NH3,0.150363983,0.120766151,0.098088557,0.096264186
Brazil,wildfire,NMVOC,2.66226753,2.234568461,1.908989613,1.885755737
Brazil,wildfire,NOx,0.811664611,0.756300433,0.716193855,0.716180867
Brazil,wildfire,OC,0.681345534,0.576959173,0.497612809,0.492133219
Brazil,wildfire,SO2,0.104620692,0.095880683,0.08944363,0.089289196
Canada,agriculture,BC,0.003342124,0.002401728,0.001792132,0.001106644
Canada,agriculture,CH4,1.214460367,1.274188963,1.321428612,1.338956476
Canada,agriculture,CO,1.003304813,0.588130257,0.272660955,0.128213514
Canada,agriculture,NH3,0.504766873,0.541603172,0.533702048,0.508757614
Canada,agriculture,NMVOC,0.242615411,0.210852476,0.199581446,0.198515081
Canada,agriculture,NOx,0.175127261,0.132652931,0.088150869,0.064157104
Canada,agriculture,OC,0.011958519,0.007468532,0.005809949,0.004597739
Canada,agriculture,SO2,0.002411651,0.001908712,0.001356976,6.57E-04
Canada,industry,BC,0.004141413,0.00454465,0.00502838,0.001894438
Canada,industry,CH4,0.013963938,0.014752375,0.014905137,0.012083559
Canada,industry,CO,0.690963934,0.49331236,0.343664862,0.240770673
Canada,industry,NH3,0.014118613,0.015516846,0.018648309,0.018119269
Canada,industry,NMVOC,0.355778291,0.242580325,0.253062979,0.280568148
Canada,industry,NOx,0.382239628,0.294414499,0.221123809,0.153557791
Canada,industry,OC,0.007275489,0.007806526,0.009098916,0.001779001
Canada,industry,SO2,0.589461235,0.392134422,0.225611977,0.130129307
Canada,power,BC,0.001168297,7.38E-04,2.87E-04,3.50E-05
